fineli_id	group_name	default	specific_tags	display_name	extra_tags	piece_weight	density_constant	example_brands	scientific_name	processing	classification	edible_portion	special_diets
446	Krusbär	TRUE		Krusbär		5	0.6		Ribes uva-crispa	Obehandlat	Bär	98 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LOWCHOL, LACVEGE, GLUTFREE, LACOVEGE, LOWLACS, EGGFREE, UNSWEET, SOYAFREE, LOWSALT, NAGLUFRE, MILKFREE, LOWFAT, VEGAN, FATFREE
33022	Kryddpasta	TRUE	kryddpasta, ingefärapasta	Ingefärapasta	ingefärapasta					Konserverat	Kryddsåser	100 %	NAGLUFRE, LACSFREE, MILKFREE, LACVEGE, LOWCHOL, VEGAN, GLUTFREE, LACOVEGE, EGGFREE
11197	Kryddsås, hp	TRUE	brun, hp-sås	Hp-sås	hpsås, hp					Industriellt	Kryddsåser	100 %	MILKFREE, LACSFREE, LACVEGE, LOWFAT, LOWCHOL, HIGHSALT, VEGAN, LACOVEGE, EGGFREE
31	Kryddsås, soja	TRUE	sojasås	Sojasås	soja, sojasås, soyasås, soya					Industriellt	Kryddsåser	100 %	UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, LACVEGE, HIGHSALT, GLUTFREE, VEGAN, LACOVEGE, EGGFREE
34601	Kvarg		bär-/fruktkvarg, laktosfri	Kvarg (frukt/bär, laktosfri)			1	arla protein kvarg		Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, NAGLUFRE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, LOWLACS, EGGFREE
33404	Kvarg		bär-/fruktkvarg, fett 3%	Kvarg (frukt/bär)			1	danio		Industriellt	Syrade mjölkprodukter	100 %	
33885	Kvarg		bär-/fruktkvarg, laktosfri	Kvarg (frukt/bär, laktosfri)			1	profeel protein kvarg		Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, LOWLACS, EGGFREE
34597	Kvarg		bär-/fruktkvarg, syntetiskt sötad, laktosfri	Kvarg (frukt/bär, laktosfri)			1	profeel protein kvarg		Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, FATFREE, EGGFREE
34596	Kvarg		bär-/fruktkvarg, med sylt, laktosfri	Kvarg (frukt/bär, laktosfri)			1	profeel protein kvarg		Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, FATFREE, EGGFREE
34594	Kvarg		fett 8,8%, mintchoklad, valio, laktosfri	Kvarg (laktosfri)			1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, LOWLACS, EGGFREE
33342	Kvarg		kvargefterrätt, 4,5% fett, valio rahkavaahto, laktosfri	Kvarg (laktosfri)			1			Industriellt	Syrade mjölkprodukter	100 %	LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE
33629	Kvarg	TRUE	medelvärde av industriella produkter	Kvarg	fruktkvarg, bärkvarg, blåbärskvarg, jordgubbskvarg, chokladkvarg, mintchokladkvarg, proteinkvarg		1			Blandat	Syrade mjölkprodukter	100 %	EGGFREE,
622	Kvarg		naturell, <0,5% fett	Kvarg			1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, UNSWEET, NAGLUFRE, SALTFREE, LACVEGE, LOWFAT, GLUTFREE, LACOVEGE, FATFREE, EGGFREE
11156	Kvarg		naturell, <0,5% fett, låg laktoshalt	Kvarg (låg laktos)			1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, UNSWEET, NAGLUFRE, SALTFREE, LACVEGE, LOWFAT, GLUTFREE, LACOVEGE, LOWLACS, EGGFREE
34602	Kvarg		naturell, 0,3% fett, 12% protein, laktosfri	Kvarg (laktosfri)			1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, UNSWEET, NAGLUFRE, LACSFREE, SALTFREE, LACVEGE, LOWFAT, GLUTFREE, FATFREE, LACOVEGE, LOWLACS, EGGFREE
