id	name	energi, beräknad (kJ)	kolhydrater, digererbara (g)	fett, totalt (g)	protein, totalt (g)	alkohol (g)	fiber, totalt (g)	organiska syror, totalt (g)	sockeralkoholer (g)	stärkelse, totalt (g)	sockerarter, totalt (g)	fruktos (g)	galaktos (g)	glukos (g)	laktos (g)	maltos (g)	sackaros (g)	polysackarider, icke-cellulosa, lösliga (g)	fiber, olöslig (g)	fettsyror, totalt (g)	fettsyror, fleromättade (g)	fettsyror, enkelomättade cis (g)	fettsyror, mättade (g)	fettsyror, trans (g)	fettsyror, n-3 fleromättade (g)	fettsyror, n-6 fleromättade (g)	fettsyra 18:2 cis,cis n-6 (linolsyra) (mg)	fettsyra 18:3 n-3 (alfa-linolensyra) (mg)	fettsyra 20:5 n-3 (EPA) (mg)	fettsyra 22:6 n-3 (DHA) (mg)	kolesterol (GC) (mg)	steroler, totalt (mg)	kalcium (mg)	järn (mg)	jodid (jod) (µg)	kalium (mg)	magnesium (mg)	natrium (mg)	salt (mg)	fosfor (mg)	selen (µg)	zink (mg)	tryptofan (mg)	folat, total (µg)	niacinekvivalenter (mg)	niacin (nikotinsyra+nikotinamid) (mg)	pyridoxin vitamerer (hydroklorid) (mg)	riboflavin (mg)	tiamin (vitamin B1) (mg)	vitamin B12 (kobalamin) (µg)	vitamin C (askorbinsyra) (mg)	vitamin A RAE (µg)	karotenoider, totalt (µg)	vitamin D (µg)	vitamin E, alfatokoferol (mg)	vitamin K, totalt (µg)
33357	Kaffe, snabbkaffe, pulver	302	4.5	0.5	12.2	0	0	N/A	N/A	4.5	0	0	0	0	0	0	0	0	0	0.4	0.2	<0.1	0.2	0	<0.1	0.2	180	15	0	0	0	N/A	141	4.4	N/A	3535	327	37	94.3	303	12.6	0.3	30	0	28.7	28.2	N/A	00.07	<0.01	0	0	0	0	0	0	1.9
34985	Kaffedryck, kalt, kaffe med mjölk, vitamin d, laktosfri	229	8	1	3.1	0	0	0.2	0	0	8	0	1.4	1.4	0	0	5.3	0	0	1	<0.1	0.2	0.7	<0.1	<0.1	<0.1	15	4	0	0	4.5	0	113	<0.1	13.6	144.6	10.7	39.4	100.3	84.6	2.6	0.4	42.1	4	0.8	<0.1	00.05	00.17	00.03	0.4	1.1	11.3	6.6	1	<0.1	00.18
34984	Kakaodryck, valio play, laktosfri	258	9.5	1	3.2	0	0.2	0.2	0	<0.1	9.4	0	1.4	1.4	0	0	6.7	<0.1	0.2	0.9	<0.1	0.2	0.7	<0.1	<0.1	<0.1	17	3	0	0	3.8	0.8	112.3	0.1	13.6	170.7	14.7	39.6	100.8	88.5	2.6	0.4	43.4	4.2	0.8	0.1	00.05	00.17	00.03	0.4	1.1	9.4	6.2	1	<0.1	00.21
21	Kakaopulver, sockrat	1672	77.4	6.5	6.4	0	0.8	0	0	3.6	73.8	0	0	0	0	0	73.8	0.2	0.6	4.8	0.2	1.6	3	0	<0.1	0.2	161	10	0	0	0	31	32	4.4	2.5	540	110	100	254.8	170	0.7	1.9	66	4	1.7	0.6	00.02	00.07	0	0	0	0	0	0	<0.1	0
20	Kakaopulver, utan tillsatt socker	1548	11	21.7	18.5	0	30.4	0	0	11	0	0	0	0	0	0	0	7.6	22.8	16.1	0.6	5.5	10.1	0	<0.1	0.5	535	34	0	0	0	103.3	105	11	2.8	3490	520	58	147.8	660	1	6.9	220	38	5.7	2	00.08	0.2	<0.01	0	0	0	38	0	0.1	4.6
29155	Kakaosmör	3700	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.6	1.7	33.3	59.6	0	0.4	1.3	1300	400	0	0	2.7	221	0	0	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	15
11551	Kalkon bröstfilé	510	0	2	25.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0.4	0.9	0.6	<0.1	<0.1	0.4	294	34	15	12	55	2	10	0.8	6	220	17	34	86.6	150	24	2.6	237	15.6	11.8	7.8	00.51	00.18	00.14	1	0	15.1	0.9	0.1	0.7	15
752	Kalkon med skinn	574	0	5.4	22	0	0	0	0	0	0	0	N/A	0	0	0	0	0	0	5.2	1.2	2.3	1.6	<0.1	0.2	1	790	92	40	33	69.9	1	10	0.8	3	220	17	49	124.8	150	20.7	2.6	320	10	12.8	7.5	00.41	00.19	00.12	1	0	13	0.9	0.7	0.7	60
726	Kalvstek, rå	458	0	1.9	22.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0.3	0.7	0.6	0	<0.1	0.2	169	14	6	0	51.7	2	6	2.6	3	333	21	41	104.5	175	16.1	3.2	320	1.2	11	5.7	00.42	00.29	00.19	1.4	0	4.9	26.1	0.2	0.3	04.07
737	Kanin	681	0	8.7	21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0.3	0.6	0.7	0	<0.1	0.2	143	60	13	0	51.7	0.5	13	1.8	3	310	23	56	142.7	210	4	1.7	300	10	9.4	4.4	00.36	00.06	0.1	1	1.5	7.5	0	0	0.8	3
